"Dmax","mITT_threshold","use_threshold","Type","mod","Niter","Nwarmup","Nthin","Nchain","prior","cov_matrices"
5.5,250,TRUE,"A","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"A","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"A","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"B","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"B","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"B","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"All","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"All","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"All","Stan_models/Exponential_decay_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"A","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"A","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"A","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"B","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"B","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"B","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"All","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"All","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"All","Stan_models/Bi_exponential_decay_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"A","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"A","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"A","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"B","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"B","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"B","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
5.5,250,TRUE,"All","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
7.5,250,TRUE,"All","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
14.5,250,TRUE,"All","Stan_models/Up_and_down_model_basic.stan",2000,1000,4,4,1,1
